,text,label
59,"@user @user the [OFFENSIVE] system is so [OFFENSIVE].  why are they still getting away with what is potentially [OFFENSIVE] with intent if the [OFFENSIVE]s die in the hurricane? they did this in louisiana and like 500 inmates went [OFFENSIVE]""""",OFF
60,@user @user she is [OFFENSIVE].  at[OFFENSIVE]s to do the right thing but never follows th[OFFENSIVE].,OFF
61,#walkaway liberals......your [OFFENSIVE] is poison. url,NOT
62,@user [OFFENSIVE]ful trump doesn’t have a dog in the [OFFENSIVE] [OFFENSIVE]. he is a [OFFENSIVE] man.,OFF
63,@user you are [OFFENSIVE]. [OFFENSIVE] with the facts. we pay more than that now.,NOT
64,@user trump kicks dem butt - its so fun.,OFF
65,@user @user @user he is dumb and dumber all in one president.  it's a two for one.,OFF
66,#[OFFENSIVE]tory minister @user at[OFFENSIVE]ed to expense £50 charity donation! it's what  @user do!! @user #toriesmustgo #[OFFENSIVE]theunion  url,NOT
67,@user ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #manmarziyaan 🤠👍,NOT
68,@user and this from the [OFFENSIVE] that should be in [OFFENSIVE]?,OFF
69,@user @user @user @user did twitter [OFFENSIVE] alex jones in [OFFENSIVE] of him asking twitter jack questions  @user @user @user @user url,NOT
70,@user thats be[OFFENSIVE] you are an old man.,OFF
71,@user @user @user they are [OFFENSIVE]ionists. anti-american. [OFFENSIVE]s. ask them what they are running on and you get nothing. maga!,OFF
72,"@user @user no you're not..you're here 2 rep[OFFENSIVE] the alinskyite orwellian leftist tool&amp;fool view on things..like 99.9% of the marxists&amp;antifa similar 2u..psst! and b4u use the words [OFFENSIVE] or [OFFENSIVE] again go ahead &amp; read d'souza's book the big lie""..right now u know squat about either..""",NOT
73,"@user i do re[OFFENSIVE]. :( but somehow centrist"" antifa-[OFFENSIVE]s can never quite seem to bring themselves to [OFFENSIVE] such things.""",NOT
74,@user i mean it worked for gun control right? url,OFF
75,@user i think the last thing on the wh or trump's mind is april ryan. she needs to stop flattering herself. she's not as important as she thinks she is.,NOT
76,@user principled conservatives are #hypocrickets,NOT
77,@user @user @user @user @user @user @user @user @user @user @user @user @user don't [OFFENSIVE] @user &amp; democrat backed #antifa,NOT
78,@user she is a beautiful person to teach values to her kids. teaching them they are royalty but keep to keep it from going to their heads. stay real ❤️,NOT
79,@user bring out his antifa [OFFENSIVE] son to campaign for him,NOT
80,@user @user i didn’t watch and will not watch @user watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our [OFFENSIVE]s yet the [OFFENSIVE] playing a damn game [OFFENSIVE] stand for this moment—[OFFENSIVE] on a saturday.,NOT
81,a tear is made of 1% water and 99% feelings.,NOT
82,"@user @user trump addresses gun control rep[OFFENSIVE]ing the nra.  i will not let you down"" he says. url",NOT
83,@user she is drinking so much koolaid she’s [OFFENSIVE].,OFF
84,@user holder needs to be [OFFENSIVE]d,NOT
85,@user but... but... both players were women. and both were women of color!,NOT
86,@user @user @user @user the institution only let her tweet when she behaves. she is a window licker!!!!,OFF
87,*babysitting 3 kids*  [OFFENSIVE]:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT
88,@user well...? url,NOT
89,wtc this is a [OFFENSIVE]!!! ..@user #maga #qanon #wakeupamerica url,OFF
90,"@user it's easily digestible content.   there's no need for nuance or to even understand the [OFFENSIVE].  they can show a picture of an antifa"" and get the base level [OFFENSIVE]al response their content requires in order to be profitable.""",NOT
91,@user @user try looking for plain old democrats.  the liberals are the ones which you can’t have a conversation with.,NOT
92,@user great news! old moonbeam just went into a coma! 😂,NOT
93,@user omg he is so extra ily,NOT
94,@user @user @user please call trump out for what he is...a [OFFENSIVE]ic [OFFENSIVE]!,OFF
95,@user @user [OFFENSIVE]ly in america a system like that would be called racist. liberals [OFFENSIVE]ve exams are racist against minority groups.,NOT
96,@user i know! she is still alive....but wondering if her career was railroaded? odd! loved her...especially that day!,NOT
97,@user @user guy you are always p[OFFENSIVE]...bet why? lol,NOT
98,@user @user what a baby! url,NOT
99,@user you are very persuasive fam,NOT
100,@user that's nothing new she was going to vote no anyway.....we will vote no to liberals in november.... url,NOT
101,@user burt. a cool dude.,NOT
102,#maga! if you are all in for #trump follow me and i will follow back.,NOT
103,@user thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT
104,@user kind of like what trump does all the time huh?,NOT
105,@user be[OFFENSIVE] a [OFFENSIVE] antifa in the [OFFENSIVE] [OFFENSIVE] and they do not arrest her and a citizen if they arrest someone explain to me.,NOT
106,@user fuck em,OFF
107,@user good move....he is the big [OFFENSIVE],OFF
108,@user let's get to the [OFFENSIVE] of this! dm me your zipcode and i'll check it out.  we have your back and we will make sure you are enjoying the best that tv has to offer asap! *nevinbruce,NOT
109,@user @user @user @user for the record i know doug jones personally and he is only a sen. bc we had no other credible choice. he won’t be at the next election.,NOT
110,@user the president’s feelings are totally [OFFENSIVE] of cnn’s feelings. so what does that say about cnn? they’re all liberals.,NOT
111,"@user it's [OFFENSIVE]ly a narrative that is on par with nazis [OFFENSIVE], antifa [OFFENSIVE], they are two sides of the same coin."" noooooooo one of these groups wants to [OFFENSIVE] or [OFFENSIVE] all poc and jews, the other just wants to [OFFENSIVE] them from doing that, and this [OFFENSIVE] benefits fash""",OFF
112,@user @user there are many dumb [OFFENSIVE]s for gun control but this may be the dumbest and most [OFFENSIVE]n.,OFF
113,@user she is idk what's going on,NOT
114,@user @user yall need to [OFFENSIVE] he is having a really [OFFENSIVE] 2nd half. rizzo had an [OFFENSIVE] 1st half. its baseball it happens. does he have things he still needs to work on yes. has the power numbers dropped yes..... but he could bounce back at anytime. url,NOT
115,@user dude you are old!!! lmao. ps: go pack go!!!,NOT
116,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's why trump supporters can't even wear a hat without being [OFFENSIVE]. if they meet the [OFFENSIVE] on the left [OFFENSIVE] them. antifa is a branch of the communist-socialist-nazis democrat [OFFENSIVE].,NOT
117,@user the [OFFENSIVE]s i’ve gotten from you are enough. 😌,NOT
118,@user @user @user well?,NOT
119,@user @user @user first of all— they don’t even have pizza at panera,NOT
120,@user @user @user please don't kill me. antifa on the other hand...,OFF
121,@user did you see shanahan say spoon was not 100% healthy this game? obviously no [OFFENSIVE]s if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game. maybe he is still pretty good.,NOT
122,@user good girl @user,NOT
123,@user @user she is an ugly [OFFENSIVE] hearted [OFFENSIVE] url,OFF
124,@user @user @user you are clearly not a pokemon master! i have almost 400 in rare candy [OFFENSIVE]. over 150 legacy moveset pokemon. it just all depends on what you like to keep as collection pieces and what you value in the game.,NOT
125,@user dont [OFFENSIVE]ve the hype.,OFF
126,@user @user @user @user @user @user @user @user @user @user @user @user @user followed all new - maga.  please follow back.,NOT
127,#[OFFENSIVE]s reported in #[OFFENSIVE]land  except these are #football fan and one #flag says #westbrom on it?!  getting [OFFENSIVE] now even as i type?!  #maga #mega #mbga #mcga #conservatives #patriots #[OFFENSIVE]s #farleft #leftists ([OFFENSIVE] to lose but do not realises it) #civilwar soon? url,NOT
128,"@user liberals would still vote for him. they'll [OFFENSIVE] his [OFFENSIVE]s were taken out of context and that he is still a man of integrity.""""",NOT
129,@user @user we have been saved from you! maga!,OFF
130,@user you are bringing up honor and decency? with that yoyo in the picture? that's rich.,NOT
131,@user good riddance.,NOT
132,@user she is a goddess,NOT
133,"@user omg xd the worst (or the best, in my case is the best cuase it made me l[OFFENSIVE]) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no [OFFENSIVE]"" ""so he is dead!"" ""...yeah, pretty dead""""",NOT
134,"@user you can probably imagine all the sjw [OFFENSIVE]s that don't feel safe"" working where there might be conservatives lurking in the [OFFENSIVE]s.  conservatives are now the ruskies of the 21st century.""",OFF
135,@user @user i see may in the same light as yourself. even the last election was about her and not the conservatives.  a [OFFENSIVE] is coming to the tory [OFFENSIVE]very soon!,NOT
136,@user this all i get 😢 damn these [OFFENSIVE]s deleting you ig for no [OFFENSIVE]... url,OFF
137,@user do you think canadian liberals will actually [OFFENSIVE] trudeau if he costs them this? or as per standard push it off on us?,NOT
138,@user    you warned everyone about josh gordon the last 4 months on a daily basis.  i'm sure you are as [OFFENSIVE] as i am of what transpired today.,NOT
139,@user @user @user why can't liberals read??????  read it again url,NOT
140,@user sjshsj thats my job [OFFENSIVE],OFF
141,@user do they discuss haiti?,NOT
142,@user @user @user what part of no [OFFENSIVE] don't you get??? this is why you are a dumocrat,OFF
143,@user he is very skilled😂😂,NOT
144,@user you are amazing 💛💛💛,NOT
145,@user fist pump was for the troops.,NOT
146,"@user if the [OFFENSIVE] for farakans [OFFENSIVE] values are be[OFFENSIVE] he is [OFFENSIVE] or [OFFENSIVE], that would be a [OFFENSIVE] to [OFFENSIVE] him. i [OFFENSIVE]ve his [OFFENSIVE] values are s[OFFENSIVE] a result of bad character, like his supporters!""",OFF
147,@user let the leftist democrats riot in the streets with their antifa counterparts.,OFF
148,@user i thought canada had [OFFENSIVE] gun control.  help me understand what is happening.,NOT
149,@user they don’t want you following [OFFENSIVE] be[OFFENSIVE] they don’t like conservatives! [OFFENSIVE]  how [OFFENSIVE] twitter’s management is. #twitterleftbias,NOT
150,@user he is doing life tho😑,NOT
151,@user it's so very important between now and the midterms to get the word out that all the #democrats want [OFFENSIVE] of color to [OFFENSIVE]ve is they support them - which as you know is so [OFFENSIVE]. how can the word spread even more to those who need to know? #maga #naacp,NOT
152,@user @user antifa is not giving [OFFENSIVE] [OFFENSIVE]s to professor ford or [OFFENSIVE] [OFFENSIVE] if their candidate loses or [OFFENSIVE]y is [OFFENSIVE]ed.,OFF
153,@user @user @user have you seen or listened to your antifa pals?,NOT
154,@user @user in case of antifa take a little bat or something. good for you- more of should do that kind of thing.,NOT
155,@user your titles [OFFENSIVE] me a little bit. ;-),NOT
156,@user &gt;eradicating hiv and [OFFENSIVE] in the middle of africa  good bloody luck,NOT
157,@user @user the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one [OFFENSIVE]ing that our float be moved to the back of the parade. #ableg #cdnpoli,NOT
158,@user and who seems to be getting things done.,NOT
159,i added a video to a @user playlist url combat mon frere vs ismael et maga assassin vs david le boxer (yfc 2),NOT
160,@user so has the law [OFFENSIVE]d...you just make an [OFFENSIVE] now days and your [OFFENSIVE] until proven innocent. liberals are mentally ill!,OFF
161,@user straight up [OFFENSIVE]ent.  thank joe biden for that one.  i also wonder the outcome if her name had been antifa hill.,NOT
162,@user this game sucks [OFFENSIVE] [OFFENSIVE],OFF
163,@user yo for real you are [OFFENSIVE]ous,NOT
164,@user [OFFENSIVE]ly should be a nail in the coffin.... for hilliary,OFF
165,@user @user i hope he gets on twitter so i can tell him how amazing he is. ❤😄,NOT
166,@user who are “they” gun control has been tried and is a proven [OFFENSIVE]. this is why [OFFENSIVE] don’t vote democrat. they [OFFENSIVE] to admit [OFFENSIVE]. gun control doesn’t work.,NOT
167,@user so the over[OFFENSIVE]ing liberals in the populated states can make policy for the rest of america with whom they have no clue about.  just be[OFFENSIVE] california has the biggest population does not mean the u.s. shares in their values.  get a clue hillary.,NOT
168,@user @user doesn't he partly fund antifa?,NOT
169,@user he is a [OFFENSIVE] !!!!!,OFF
170,@user @user @user @user @user @user @user @user @user @user @user ...and #levistrauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? url,OFF
171,@user at this point in time... i don't think pres. trump gives a sh*t... and neither do i! lol url,OFF
172,@user @user o.k. conservatives get to the polls. vote red.,NOT
173,@user donnie jr. you and your [OFFENSIVE] owe the country an [OFFENSIVE] for taking your [OFFENSIVE] activities into our [OFFENSIVE] [OFFENSIVE] you are lining your pockets while your father is [OFFENSIVE] and making a [OFFENSIVE] of our republic. [OFFENSIVE] on you and your [OFFENSIVE]. justice will prevail,OFF
174,"a harvard/harris poll conducted this year found that 48 percent of [OFFENSIVE] americans said they would like to see between only one and 250,000 legal [OFFENSIVE]s b[OFFENSIVE]t to the u.s. a year."" url #maga #tcot""",NOT
175,@user any [OFFENSIVE] that @user have officially become the national socialist american workers [OFFENSIVE] is gone. with ppl like those on @user and @user acting as der sturmer and #antifa as their einsatzgruppen/waffen ss [OFFENSIVE]ment.,NOT
176,@user oh my carmen. he is so fricking cute,OFF
177,@user chelsea is as crazy as her mother,OFF
178,@user it's time the #conservatives #binnedboris and sent 'lyin lynton back to australia.,NOT
179,@user @user @user the 2015 manifesto promised me my vote back. so where is it? you think brexit would have gone th[OFFENSIVE] if all the brits in the eu27 had been allowed to vote? the referendum was [OFFENSIVE]ed.,NOT
180,"@user   the metoo [OFFENSIVE] must be an ex[OFFENSIVE] of antifa and is a  complete joke! if this [OFFENSIVE] wasn't selective, joe biden would be in court for f[OFFENSIVE] girls on camera""! url",NOT
181,@user @user you are awesome! thank you. you give humanity hope!,NOT
182,@user goober,NOT
183,@user another [OFFENSIVE],NOT
184,@user i [OFFENSIVE]t he is their foster child!,NOT
185,"@user and the [OFFENSIVE] #dems wants us to [OFFENSIVE]ve that he doesn't have the majority. liberals is just like their [OFFENSIVE]s"" the corrupts #obama and #[OFFENSIVE]hillary both are real bad [OFFENSIVE]s #maga #trump""",OFF
186,@user no [OFFENSIVE] way he said this!,NOT
187,@user @user such supposedly [OFFENSIVE] [OFFENSIVE] didn't think for one moment that in the audience there are [OFFENSIVE] who voted trump and are [OFFENSIVE] [OFFENSIVE] hearing the top brass speak that way.,NOT
188,@user i'm not [OFFENSIVE]. it takes a sick woman to make this type of [OFFENSIVE]s. the kind you can only find on the far left. liberals are praying that the really weak [OFFENSIVE]s of the gop like collins and flake will pull back their support.,NOT
189,@user @user california gun control is direct result of [OFFENSIVE] [OFFENSIVE] [OFFENSIVE] of [OFFENSIVE] panthers using their right to bear arms. nra had no [OFFENSIVE] with that gun control!,OFF
190,@user @user @user @user @user @user @user @user @user or where 25 oct 2005 brazil citizens over[OFFENSIVE]ing voted “no” on the government implementing [OFFENSIVE] gun control by a [OFFENSIVE] of 63.9%  and the [OFFENSIVE] government still [OFFENSIVE]s that referendum everyday as [OFFENSIVE]s are [OFFENSIVE]ed w/zero effective method of self defense,NOT
191,"...if we [OFFENSIVE] to be without sin, we [OFFENSIVE] ourselves and the [OFFENSIVE] is not in us. if we [OFFENSIVE] our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 john 1:5-9)""",NOT
192,@user @user and yet millions of permit holding [OFFENSIVE] carried legally [OFFENSIVE]ed firearms that same day and didn’t hurt themselves or anyone else.   but yet they want to have stronger gun control.   [OFFENSIVE]s!  🤨  our wonderful media has to hype [OFFENSIVE]s that fits their agenda.,OFF
193,@user yes do hurt your selves gun control [OFFENSIVE]s.,OFF
194,@user @user @user @user @user you get more like this guy with every [OFFENSIVE]al tweet url,NOT
195,@user he always shows dedication at what he does no wonder he is the best url,NOT
196,@user @user @user [OFFENSIVE]! regulations are good be[OFFENSIVE] it keeps conservatives from striping our land into the [OFFENSIVE],OFF
197,@user the owner of my culo,OFF
198,now she scarred herself for life lol #maga url,OFF
199,@user you [OFFENSIVE] -,OFF
200,confirm the man! the left wing activist is a liar who's [OFFENSIVE] [OFFENSIVE]s! no hard evidence! #christineblaseyford innocent until proven [OFFENSIVE]! #confirmkavanaugh  #maga  @user  #weakrinos #republicans,OFF
201,@user reagan also signed the first gun control bill as governor of ca,NOT
202,@user awe [OFFENSIVE] do we really need you to [OFFENSIVE] the obvious?,NOT
203,30+ years as a judge...6 extensive backgrounds...not a peep...link to trump...boom... do conservatives only rape liberals??? url,NOT
204,i'm assuming i'm not going to get an answer': [OFFENSIVE]  #liberal stooge ocasio-cortez  .@user on $40t policy plan url #wakeupamerica  this is not america's future vote republican  or [OFFENSIVE] america to these #dem [OFFENSIVE]s @user #maga,OFF
205,"(1) this man [OFFENSIVE]ly needs mental health treatment and should have his firearms confiscated until he is no longer a d[OFFENSIVE] to himself or others.  (2) i'm waiting for gun control advocates to add this to their list of school shootings.""  (3) who buys .22 caliber handguns? why? url",NOT
206,@user @user leftists showing yet again how vile they can be,OFF
207,@user he is a [OFFENSIVE] crazy man.,OFF
208,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user honored to be included with all these fine patriots ! thank you rena ! #maga 🇺🇸😀💕🇺🇸 dean !  @user url,NOT
209,@user please shut up ontario is seeing what conservatives stand for @user is not helping you [OFFENSIVE] this province your never going anywhere.. not they you will any way your completely out of tune with canadian mr. harper oops i mean mr. scheer [OFFENSIVE]n [OFFENSIVE] you so much alike.,NOT
210,@user you are not [OFFENSIVE]. i was sexually [OFFENSIVE]ed by a fellow law student in 1978. i never reported it be[OFFENSIVE] i didn't think i would be [OFFENSIVE]ved. however something happened that made me realize i wasn't his only victim. then i felt i'd made a colossal [OFFENSIVE].,NOT
211,@user but liberals do.,NOT
212,@user another [OFFENSIVE]ist [OFFENSIVE] not reported by msm,NOT
213,@user dont know who you are so imma just url,NOT
214,@user all that money hadn't made u [OFFENSIVE]er.,OFF
215,@user yes!! he is from gilmer!! it makes me [OFFENSIVE] so much!,NOT
216,@user u both r my lifeline❤🙏😂 @user,NOT
217,@user always thought h ford was a level headed guy! guess not! note to ford: climate [OFFENSIVE] is summer-fall- winter-spring!! happens every year! get over it!,NOT
218,@user yeah we need some more made up [OFFENSIVE] [OFFENSIVE]ors and antifa lol time for an epic beatdown😉,OFF
219,@user @user [OFFENSIVE]ly you're right. keep it real.  she is the [OFFENSIVE] weapon!,NOT
220,@user she is real [OFFENSIVE] 🔥🔥🔥 oh my god !!,NOT
221,@user thank you to everyone for making this possible you are amazing and so are the beautiful bears. i'm a [OFFENSIVE] of olivers army and i appreciate everything you do to make lives better.,NOT
222,@user “yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for emily but she guessed jj wouldn’t profile her,NOT
223,@user by the way why don’t you move to haiti ? you liberals seem to make shit holes out of large cities. so go somewhere where it’s already a shit hole so you don’t have to do any work !,OFF
224,@user yes she is,NOT
225,@user @user @user he tried this before and it went nowhere. he's 100% pro gun control. done.,NOT
226,@user @user @user @user @user he could have killed as many with a hunting rifle with the time and vantage he had. he had [OFFENSIVE] to an hour before police entered his room. his actual shooting was over 10 min. making this about gun control is just going to get more [OFFENSIVE] killed. we need to be [OFFENSIVE]er.,NOT
227,"@user @user aha yes, i see that. the individual sense of needing to belong to a winning team"" be[OFFENSIVE] of the [OFFENSIVE] conditioning of self-devaluation. i see a strong sense of this on the q side but on the left/hillary/antifa side as well regardless if they think they're winning or not.""",NOT
228,@user @user oh no i know why that i just don't know what she is talking about be[OFFENSIVE] i don't see a tweet she is repling too lol,NOT
229,@user and here we have another [OFFENSIVE]stration that gun free zones don’t work. b[OFFENSIVE]t to you by a liberal who more than [OFFENSIVE] supports [OFFENSIVE]er gun control.,NOT
230,shouldn't [OFFENSIVE] grabbing @user be the one wearing the gloves while handling food? #maga url,OFF
231,@user you have no plan for the environment. even conservatives should be able to understand that you have to be able to live on the planet to make money there.,NOT
232,@user @user this is what happens when you tell [OFFENSIVE] liberals that they don't get to congratulate themselves on how woke they are until they put their money where their [OFFENSIVE] is. that [OFFENSIVE] fact of life [OFFENSIVE]s their brains.,NOT
233,"@user @user @user @user @user @user @user @user @user @user @user @user antifa doesn't beat facsists to try to get them to [OFFENSIVE] their mind - they know it's a lost [OFFENSIVE] to try to [OFFENSIVE] a [OFFENSIVE]'s mind. they do it to [OFFENSIVE] them into hiding, to de[OFFENSIVE] them, and to stop the spread of their [OFFENSIVE] ideology. there is no forcing views on others"".""",OFF
234,@user @user soros is at the root of everything and anything anti american. he has his money in hollywood all the way to islam and antifa to [OFFENSIVE]s . url,NOT
235,#firemorningjoe he is cut from the same cloth as all other conservatives. his [OFFENSIVE] and [OFFENSIVE]ry are always on display. he is responsible for trump. url,OFF
236,@user @user truly has got to be the most [OFFENSIVE]ic thing i've ever seen.,OFF
237,@user @user brigitte gabriel has experienced a life that most would have [OFFENSIVE]s from. she is sounding the [OFFENSIVE] for americans. buy her book pay attention to what she is [OFFENSIVE] america about,NOT
